,up,down,left,right
"(0,,)",-363.192262875,-203.990328593,-363.192262875,-203.990328593
"(0,,)",-203.990328593,-4.9879107418,-363.192262875,-203.987910742
"(0,,)",-203.987910742,-4.98488842725,-203.990328593,-203.984888427
"(0,,)",-203.984888427,-4.98111053407,-203.987910742,-203.981110534
"(0,,)",-203.981110534,-4.97638816759,-203.984888427,-203.976388168
"(0,,)",-203.976388168,-4.97048520948,-203.981110534,-203.970485209
"(0,,)",-203.970485209,-4.96310651185,-203.976388168,-203.963106512
"(0,,)",-203.963106512,-4.95388313982,-203.970485209,-203.95388314
"(0,,)",-203.95388314,-4.94235392477,-203.963106512,-203.942353925
"(0,,)",-203.942353925,-4.92794240596,-203.95388314,-203.927942406
"(0,,)",-203.927942406,-4.90992800745,-203.942353925,-203.909928007
"(0,,)",-203.909928007,-4.88741000932,-203.927942406,-363.127942406
"(0,,)",-363.127942406,-203.909928007,-203.909928007,-363.127942406
"(1,,)",-363.192262875,-203.992262875,-203.990328593,-4.9879107418
"(1,,)",-203.990328593,-4.99032859344,-203.990328593,-4.98488842725
"(1,,)",-203.987910742,-203.987910742,-4.9879107418,-4.98111053407
"(1,,)",-203.984888427,-203.984888427,-4.98488842725,-4.97638816759
"(1,,)",-203.981110534,-203.981110534,-4.98111053407,-4.97048520948
"(1,,)",-203.976388168,-203.976388168,-4.97638816759,-4.96310651185
"(1,,)",-203.970485209,-203.970485209,-4.97048520948,-4.95388313982
"(1,,)",-203.963106512,-203.963106512,-4.96310651185,-4.94235392477
"(1,,)",-203.95388314,-203.95388314,-4.95388313982,-4.92794240596
"(1,,)",-203.942353925,-4.94235392477,-4.94235392477,-4.90992800745
"(1,,)",-203.927942406,-203.887410009,-4.92794240596,-4.88741000932
"(1,,)",-203.909928007,-4.85926251164,-4.90992800745,-203.909928007
"(1,,)",-363.127942406,-203.887410009,-4.88741000932,-203.909928007
"(2,,)",-203.990328593,-203.9938103,-203.992262875,-4.99032859344
"(2,,)",-4.9879107418,-4.99226287475,-203.992262875,-203.987910742
"(2,,)",-4.98488842725,-203.9938103,-4.99032859344,-203.984888427
"(2,,)",-4.98111053407,-4.99226287475,-203.987910742,-203.981110534
"(2,,)",-4.97638816759,-4.99032859344,-203.984888427,-203.976388168
"(2,,)",-4.97048520948,-4.9879107418,-203.981110534,-203.970485209
"(2,,)",-4.96310651185,-4.98488842725,-203.976388168,-203.963106512
"(2,,)",-4.95388313982,-4.98111053407,-203.970485209,-203.95388314
"(2,,)",-4.94235392477,-203.963106512,-203.963106512,-4.94235392477
"(2,,)",-4.92794240596,-4.95388313982,-203.95388314,-203.887410009
"(2,,)",-4.90992800745,-203.859262512,-4.94235392477,-4.85926251164
