,up,down,left,right
"(0,0)",-200.0,-200.0,-200.0,-200.0
"(0,1)",-203.927942406,-4.9879107418,-200.0,-202.951424
"(0,2)",-200.0,-4.98488842725,-200.8,-200.0
"(0,3)",-203.976388168,-4.98111053407,-200.0,-200.0
"(0,4)",-203.981110534,-4.97638816759,-200.0,-203.32891136
"(0,5)",-203.976388168,-4.97048520948,-200.0,-200.0
"(0,6)",-203.970485209,-4.96310651185,-202.68928,-203.963106512
"(0,7)",-200.0,-4.95388313982,-200.0,-200.0
"(0,8)",-200.0,-4.94235392477,-200.0,-200.0
"(0,9)",-200.0,-4.92794240596,-203.95388314,-203.927942406
"(0,1)",-203.463129088,-4.90992800745,-200.0,-200.0
"(0,1)",-200.0,-4.88741000932,-200.0,-200.0
"(0,1)",-200.0,-200.0,-200.8,0.0
"(1,0)",-200.0,-200.0,-200.0,-4.9879107418
"(1,1)",-203.990328593,-4.99032859344,-203.990328593,-4.98488842725
"(1,2)",-203.987910742,-203.987910742,-4.9879107418,-4.98111053407
"(1,3)",-203.984888427,-203.984888427,-4.98488842725,-4.97638816759
"(1,4)",-203.981110534,-203.981110534,-4.98111053407,-4.97048520948
"(1,5)",-203.976388168,-203.976388168,-4.97048520948,-4.96310651185
"(1,6)",-203.970485209,-203.970485209,-4.97048520948,-4.95388313982
"(1,7)",-203.963106512,-203.963106512,-4.96310651185,-4.94235392477
"(1,8)",-203.95388314,-203.95388314,-4.95388313982,-4.92794240596
"(1,9)",-203.942353925,-4.94235392477,-4.94235392477,-4.90992800745
"(1,1)",-203.927942406,-203.887410009,-4.92794240596,-4.88741000932
"(1,1)",-203.909928007,-4.85926251164,-4.90992800745,-203.909928007
"(1,1)",-200.0,-203.887410009,-4.88741000932,-201.952
"(2,0)",-200.0,-200.0,-203.992262875,-4.99032859344
"(2,1)",-4.9879107418,-4.99226287475,-203.992262875,-203.987910742
"(2,2)",-4.98488842725,-203.9938103,-4.9879107418,-203.32891136
"(2,3)",-4.98111053407,-4.99226287475,-200.0,-200.8
"(2,4)",-4.97638816759,-4.98488842725,-200.8,-200.0
"(2,5)",-4.97048520948,-4.9879107418,-200.0,-200.8
"(2,6)",-4.96310651185,-4.98488842725,-200.0,-203.963106512
"(2,7)",-4.95388313982,-4.97048520948,-203.970485209,-200.0
"(2,8)",-4.94235392477,-200.0,-203.963106512,-4.94235392477
"(2,9)",-4.92794240596,-4.95388313982,-203.95388314,-203.887410009
"(2,1)",-4.90992800745,-202.951424,-4.94235392477,-4.85926251164
"(2,1)",-4.88741000932,-4.82407813956,-203.887410009,-203.887410009
"(2,1)",-200.0,-203.859262512,-4.85926251164,-200.0
"(3,0)",-203.992262875,-200.0,-200.0,-4.99226287475
"(3,1)",-4.99032859344,-4.9938102998,-203.9938103,-203.9938103
"(3,2)",-203.987910742,-200.0,-4.99226287475,-4.99226287475
"(3,3)",-203.909928007,-203.990328593,-200.8,-4.99032859344
"(3,4)",-203.95388314,-203.992262875,-4.99032859344,-4.9879107418
"(3,5)",-203.656402616,-203.990328593,-4.99032859344,-4.98488842725
"(3,6)",-202.68928,-203.981110534,-4.9879107418,-4.98111053407
"(3,7)",-203.963106512,-4.97638816759,-4.98488842725,-203.963106512
"(3,8)",-200.0,-4.97048520948,-4.98111053407,-4.95388313982
"(3,9)",-4.94235392477,-4.94235392477,-203.927942406,-203.859262512
"(3,1)",-200.0,-200.0,-4.94235392477,-4.82407813956
"(3,1)",-4.85926251164,-4.78009767444,-203.859262512,-203.859262512
"(3,1)",-200.0,-200.0,-4.82407813956,-200.0
"(4,0)",-203.9938103,-200.0,-200.0,-4.9938102998
"(4,1)",-4.99226287475,-4.99504823984,-203.987910742,-203.99504824
"(4,2)",-200.0,-4.99603859187,-4.9938102998,-200.8
"(4,3)",-4.99226287475,-4.9968308735,-200.0,-200.8
"(4,4)",-4.99032859344,-4.9968308735,-200.0,-200.0
"(4,5)",-4.9879107418,-4.9879107418,-201.44,-203.909928007
"(4,6)",-4.98111053407,-200.0,-200.8,-4.97638816759
"(4,7)",-4.97638816759,-4.98111053407,-203.981110534,-4.97048520948
"(4,8)",-203.942353925,-4.97638816759,-4.97638816759,-4.96310651185
"(4,9)",-4.95388313982,-4.95388313982,-4.97048520948,-203.725122093
"(4,1)",-200.0,-203.780097674,-4.96310651185,-4.78009767444
"(4,1)",-4.82407813956,-4.72512209306,-203.82407814,-203.82407814
"(4,1)",-200.0,-200.0,-4.78009767444,-203.82407814
"(5,0)",-203.99504824,-200.0,-203.32891136,-4.99504823984
"(5,1)",-4.9938102998,-4.99603859187,-203.996038592,-4.99603859187
"(5,2)",-203.99504824,-203.656402616,-4.99504823984,-4.9968308735
"(5,3)",-203.9938103,-203.942353925,-4.99603859187,-4.9968308735
"(5,4)",-203.992262875,-203.780097674,-4.9968308735,-4.9968308735
"(5,5)",-203.990328593,-4.99797175904,-4.9974646988,-202.951424
"(5,6)",-200.0,-201.44,-4.9938102998,-4.98111053407
"(5,7)",-4.97638816759,-203.1611392,-203.976388168,-4.97638816759
"(5,8)",-4.97048520948,-203.32891136,-4.97048520948,-4.97048520948
"(5,9)",-4.96310651185,-201.952,-4.97638816759,-203.656402616
"(5,1)",-200.0,-203.57050327,-4.88741000932,-4.72512209306
"(5,1)",-4.78009767444,-4.65640261632,-203.780097674,-203.780097674
"(5,1)",-200.0,-200.0,-4.72512209306,-203.780097674
"(6,0)",-200.0,-200.0,-200.8,-4.99603859187
"(6,1)",-4.99504823984,-4.9968308735,-203.996830873,-203.996830873
"(6,2)",-4.99603859187,-4.9974646988,-4.99603859187,-203.997464699
"(6,3)",-4.9968308735,-4.99797175904,-203.996830873,-200.0
"(6,4)",-4.9974646988,-200.0,-200.0,-4.9968308735
"(6,5)",-4.99797175904,-4.99837740723,-202.951424,-203.970485209
"(6,6)",-200.0,-200.0,-4.9968308735,-200.0
"(6,7)",-4.32891136,-3.951424,-201.44,-200.0
"(6,8)",-4.95388313982,-4.1611392,-200.0,-200.8
"(6,9)",-4.72512209306,-4.32891136,-200.0,-200.8
"(6,1)",-200.0,-4.463129088,-200.0,-4.463129088
"(6,1)",-4.72512209306,-4.5705032704,-203.57050327,-203.725122093
"(6,1)",-203.780097674,-200.0,-4.65640261632,-203.725122093
"(7,0)",-200.0,-200.8,-200.0,-4.9968308735
"(7,1)",-4.99603859187,-203.992262875,-203.57050327,-4.9974646988
"(7,2)",-203.981110534,-203.963106512,-4.9968308735,-4.9974646988
