mass,metabolic_rate
1370,3.45E+05
1250,4.17E+05
7.4,3100
6.95,2898
8.9,3528
9.6,3881
9.4,3830
9.3,4284
9.35,3906
8.15,2386
6.7,2374
32.75,17430
45.5,20049
38.5,22952
40.5,26454
39,16174
32.25,21595
37.25,18956
37.25,17830
28.25,12521
0.795,1036.8
1.252,1347.8
1.09,1728
1.08,1555.2
1.08,1373.8
1.08,803.52
1.002,794.88
1.05,1287.4
1.2,1097.3
0.0133,19.442
0.0125,19.892
0.0129,20.687
0.0113,24.952
0.0117,24.32
0.0126,23.548
0.0137,29.238
0.0125,26.368
0.0132,12.294
0.0133,19.278
0.0134,17.191
0.0125,24.209
0.014,20.12
0.0128,19.659
0.0143,26.461
0.0133,26.333
0.0366,113
0.0393,115.6
0.0345,111.2
0.0354,98.2
0.0304,78.5
0.0356,84
0.0368,113.9
0.0328,100.1
0.0349,110.2
0.0349,64
0.0408,115.6
0.0069,8.6
0.0101,27
0.0068,18.1
0.0072,13.5
0.0089,23.9
0.0144,50.1
0.0088,31.9
0.0111,21.1
0.0082,9.8
0.011,23
0.0082,16.1
0.008,10.4
0.0087,22.7
0.008,28.4
0.007,48.4
0.0074,16.7
0.0071,32.6
0.0098,55.05
0.01,16.3
0.0109,20.6
0.0062,55.4
0.0144,52.238
0.0189,56.649
0.096,180.3
0.01485,43.7
0.01305,99.8
0.0143,52.6
0.0143,81.6
0.0139,112.4
0.014,69
0.03275,83.5
0.03455,75.4
0.03045,59.3
0.0335,70.8
0.0336,92.5
0.03865,82.9
0.653,1150
0.668,523
0.63,479
0.634,428
0.655,420
0.585,556
0.585,473
0.565,543
0.537,461
0.537,314
0.497,328
0.634,857
0.517,450
0.448,581
0.432,554
0.695,638
0.643,712
0.605,700
0.6,700
0.579,691
0.634,606
0.595,605
0.018,113
0.01813,103
0.0175,110.3
0.01863,100.4
0.01713,94.8
0.01875,111.6
0.01713,97.3
0.01975,120
0.01963,107.2
0.018,85.1
0.01725,89.3
0.01738,87.8
0.0215,99.7
0.01938,57.1
0.01988,119.7
0.01825,102.4
0.0195,109.7
0.01988,118.5
0.0165,109.4
0.01825,96.9
0.01863,98.4
0.01738,119.4
0.0191,119.2
0.02164,95.3
0.01825,123.4
0.01888,136.3
0.02013,120.9
0.019,120
0.02063,102.4
0.01725,98.5
0.01675,96.7
0.0185,83.9
0.02,101.8
0.0175,64.2
0.02113,110.1
0.019,97.4
0.01663,58.3
0.01875,65.9
0.01725,108.7
0.01863,120.9
0.0195,122.5
0.01888,86.6
0.01775,89
0.01925,56.1
0.018,94.9
0.01925,121.6
0.963,1542
0.972,1979
0.927,1580
0.898,2054
0.0125,45.97
