Date,Open,High,Low,Close,Adj Close,Volume
1975-03-01,1.070527,1.248949,1.062417,1.204343,0.002020,48741400
1975-04-01,1.204343,1.244894,1.119188,1.167848,0.001958,29854600
1975-05-01,1.175958,1.301664,1.151628,1.200288,0.002046,42830900
1975-06-01,1.200288,1.342214,1.135408,1.334104,0.002274,36043000
1975-07-01,1.330049,1.378710,1.224618,1.265169,0.002156,30496500
1975-08-01,1.265169,1.293554,1.224618,1.281389,0.002218,19573800
1975-09-01,1.281389,1.281389,1.135408,1.175958,0.002035,27285400
1975-10-01,1.175958,1.350324,1.155683,1.305719,0.002260,35327500
1975-11-01,1.305719,1.467920,1.305719,1.386820,0.002435,26876100
1975-12-01,1.386820,1.455755,1.334104,1.427370,0.002506,31861700
1976-01-01,1.427370,1.695002,1.415205,1.609846,0.002827,73699800
1976-02-01,1.609846,1.731497,1.585516,1.658506,0.002947,43017800
1976-03-01,1.658506,1.869368,1.646341,1.849093,0.003285,74866200
1976-04-01,1.849093,1.974799,1.832873,1.926138,0.003422,68898000
1976-05-01,1.918028,1.926138,1.743662,1.780157,0.003195,44672100
1976-06-01,1.780157,1.946413,1.772047,1.897753,0.003406,58725500
1976-07-01,1.897753,1.942358,1.796377,1.832873,0.003289,57392000
1976-08-01,1.832873,1.881533,1.690947,1.796377,0.003270,40828700
1976-09-01,1.800432,1.962633,1.772047,1.926138,0.003506,56239200
1976-10-01,1.926138,1.934248,1.788267,1.840983,0.003351,46056000
1976-11-01,1.840983,1.889643,1.759882,1.772047,0.003272,48389800
1976-12-01,1.772047,2.007239,1.772047,1.995074,0.003684,65621300
1977-01-01,1.978854,1.999129,1.897753,1.962633,0.003624,48294700
1977-02-01,1.962633,1.962633,1.784212,1.877478,0.003513,55440700
1977-03-01,1.877478,1.938303,1.755827,1.755827,0.003286,55984500
1977-04-01,1.763937,1.877478,1.715277,1.800432,0.003369,96090700
1977-05-01,1.800432,1.840983,1.735552,1.763937,0.003361,56399300
1977-06-01,1.763937,1.900794,1.759882,1.900794,0.003622,51953300
1977-07-01,1.900794,1.921070,1.779144,1.804487,0.003438,46415200
1977-08-01,1.804487,1.824763,1.677768,1.769006,0.003431,49984800
1977-09-01,1.769006,1.875450,1.748731,1.875450,0.003637,50402900
1977-10-01,1.875450,1.875450,1.713249,1.738593,0.003372,46252400
1977-11-01,1.738593,1.860244,1.698043,1.753800,0.003463,44661900
1977-12-01,1.753800,1.855175,1.743662,1.855175,0.003663,49348400
1978-01-01,1.850106,1.850106,1.622011,1.698043,0.003353,46578600
1978-02-01,1.698043,1.743662,1.667630,1.708181,0.003438,28606500
1978-03-01,1.708181,1.845038,1.703112,1.845038,0.003713,56100500
1978-04-01,1.845038,2.073133,1.824763,2.073133,0.004172,85298100
1978-05-01,2.073133,2.103546,1.966689,2.007239,0.004113,59926000
1978-06-01,2.007239,2.062995,1.850106,1.890657,0.003875,62680900
1978-07-01,1.890657,1.916001,1.799419,1.834900,0.003760,36579900
1978-08-01,1.834900,1.981895,1.758868,1.784212,0.003730,59854000
1978-09-01,1.784212,1.890657,1.784212,1.845038,0.003857,60774400
1978-10-01,1.845038,1.870382,1.606805,1.622011,0.003391,57563200
1978-11-01,1.662561,1.703112,1.581461,1.667630,0.003560,60029500
1978-12-01,1.667630,1.713249,1.606805,1.708181,0.003646,60849600
1979-01-01,1.708181,1.824763,1.642286,1.657493,0.003538,54395700
1979-02-01,1.657493,1.698043,1.616942,1.667630,0.003637,41022700
1979-03-01,1.672699,1.799419,1.662561,1.779144,0.003880,60209800
1979-04-01,1.774075,1.839969,1.758868,1.809556,0.003947,45831800
1979-05-01,1.809556,1.819694,1.682837,1.723387,0.003844,41240100
1979-06-01,1.723387,1.789281,1.713249,1.728456,0.003855,50959500
1979-07-01,1.723387,1.774075,1.652424,1.703112,0.003799,43015600
1979-08-01,1.703112,1.763937,1.672699,1.748731,0.003993,49121900
1979-09-01,1.753800,1.799419,1.723387,1.774075,0.004051,62115000
1979-10-01,1.748731,1.758868,1.475016,1.495292,0.003415,74857000
1979-11-01,1.495292,1.510498,1.191164,1.241852,0.002913,100603400
1979-12-01,1.241852,1.388847,1.241852,1.297609,0.003044,82225900
1980-01-01,1.297609,1.449672,1.257059,1.368572,0.003210,76962300
1980-02-01,1.368572,1.388847,1.226646,1.236784,0.002986,53441900
1980-03-01,1.236784,1.251990,1.069514,1.181027,0.002852,86304400
1980-04-01,1.181027,1.186096,0.866762,0.988413,0.002387,100197700
1980-05-01,0.983344,1.044170,0.856625,0.993482,0.002500,80636200
1980-06-01,0.993482,1.023895,0.907313,0.998551,0.002513,119306300
1980-07-01,0.998551,1.175958,0.993482,1.155683,0.002908,108847300
1980-08-01,1.155683,1.165821,1.099926,1.120201,0.002852,80721100
1980-09-01,1.120201,1.246921,1.110064,1.120201,0.002852,70722200
1980-10-01,1.120201,1.170889,0.998551,1.044170,0.002658,69185300
1980-11-01,1.044170,1.059376,0.892106,0.907313,0.002337,70738200
1980-12-01,0.907313,0.912381,0.734974,0.811006,0.002089,135888500
1981-01-01,0.816074,0.887037,0.750180,0.800868,0.002063,65180700
1981-02-01,0.800868,0.856625,0.770455,0.795799,0.002083,43990500
1981-03-01,0.795799,1.054307,0.795799,0.973207,0.002547,97001500
1981-04-01,0.968138,0.988413,0.861693,0.866762,0.002268,72460500
1981-05-01,0.866762,0.963069,0.846487,0.932656,0.002472,57393400
