,0.25,0.50,0.67,0.75,1.0
0,3.7,4.8,5.85,6.2,7.15
1,3.45,5.05,5.8,6.05,7.05
2,3.5,5.1,5.9,6.3,7.2
3,3.5,4.95,5.9,6.15,7.1
4,3.7,5.1,5.65,6.2,7.05
5,3.55,4.95,6.1,6.2,7.25
6,3.55,4.8,5.9,6.2,7.15
7,3.7,5.15,5.75,6.3,7.15
8,3.7,4.95,5.85,6.3,7.15
9,3.8,4.7,6.0,6.45,7.2
10,3.65,5.0,5.9,6.35,7.1
11,3.7,5.15,5.75,6.05,7.15
12,3.6,4.75,6.05,6.05,7.2
13,3.65,5.0,5.75,6.1,7.25
14,3.9,5.1,5.95,6.25,7.0
15,3.65,5.0,6.0,6.2,7.15
16,3.5,4.95,5.9,6.3,7.25
17,3.6,5.25,5.9,6.2,7.25
18,3.8,4.95,5.8,6.35,7.2
19,3.65,5.1,6.0,6.25,7.1
20,3.65,5.15,5.9,6.25,7.0
21,3.8,5.0,6.0,6.35,7.2
22,3.55,5.15,5.85,6.2,6.95
23,3.8,5.0,5.75,6.0,7.2
24,3.75,5.1,5.7,5.85,7.15
25,3.5,5.15,5.7,6.2,6.95
26,3.75,5.1,5.8,6.35,7.1
27,3.8,5.0,5.95,6.2,7.2
28,3.75,5.2,5.85,6.3,7.2
29,3.7,5.05,6.0,5.95,7.3
